Time,Reporter,Type,Content,Screenshot,RTF Note
2016-12-12 13:19:16,Patryk Plebanek,(Rapid Reporter version),"1.16.05.20",,
2016-12-12 13:19:16,Patryk Plebanek,Session Reporter,"Patryk Plebanek",,
2016-12-12 13:19:16,Patryk Plebanek,Session Charter,"Patryk Plebanek",,
2016-12-12 13:19:36,Patryk Plebanek,Setup,"System Windows 7 Pro",,
2016-12-12 13:19:50,Patryk Plebanek,Setup,"Przegladarka Google Chrome",,
2016-12-12 13:20:08,Patryk Plebanek,Setup,"Aplikacja http://demo.mrbuggy2.testarena.pl/",,
2016-12-12 13:20:24,Patryk Plebanek,Setup,"Historia 3",,
2016-12-12 13:20:54,Patryk Plebanek,Note,"Logowanie z zapamietaniem",,
2016-12-12 13:21:45,Patryk Plebanek,autogenerated,"screenshot saved",1_20161212_132145.jpg,
2016-12-12 13:22:40,Patryk Plebanek,Test,"Logowanie z zaznaczonym buttonem zapamietania",1_20161212_132145.jpg,
2016-12-12 13:23:21,Patryk Plebanek,Note,"Logowanie pomysle",,
2016-12-12 13:23:41,Patryk Plebanek,Test,"Wylogowanie sie i sprawdzenie zamaietania danych",,
2016-12-12 13:24:02,Patryk Plebanek,Note,"po wylogowaniu dane nie zapamietaly się",,
2016-12-12 13:24:28,Patryk Plebanek,autogenerated,"screenshot saved",2_20161212_132428.jpg,
2016-12-12 13:24:30,Patryk Plebanek,Test,"zalogowanie i wylaczenie rpzegladarki",2_20161212_132428.jpg,
2016-12-12 13:25:07,Patryk Plebanek,Note,"konto nadal zalogowane",,
2016-12-12 13:25:09,Patryk Plebanek,autogenerated,"screenshot saved",3_20161212_132509.jpg,
2016-12-12 13:26:04,Patryk Plebanek,Session End. Duration,"00:06:48",,
